train_distances,test_distances,train_file,test_file,train_rows,test_rows,train_subjects,test_subjects,train_created_now,test_created_now
4_feet,4_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_4_test_4.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_4_same.csv,238,238,34,34,False,False
4_feet,6_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_4_test_6.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_6.csv,238,245,34,35,True,True
4_feet,8_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_4_test_8.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_8.csv,238,266,34,38,False,False
6_feet,4_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_6_test_4.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_4.csv,245,238,35,34,True,False
6_feet,6_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_6_test_6.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_6_same.csv,245,245,35,35,False,False
6_feet,8_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_6_test_8.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_8.csv,245,266,35,38,True,False
8_feet,4_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_8_test_4.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_4.csv,266,238,38,34,False,False
8_feet,6_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_8_test_6.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_6.csv,266,245,38,35,True,False
8_feet,8_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_8_test_8.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_8_same.csv,266,266,38,38,False,False
"4_feet,6_feet",4_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_4_6_test_4.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_4_from_4_6.csv,483,238,69,34,True,True
"4_feet,6_feet",6_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_4_6_test_6.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_6_from_4_6.csv,483,245,69,35,True,True
"4_feet,6_feet",8_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_4_6_test_8.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_8_from_4_6.csv,483,266,69,38,False,False
"4_feet,8_feet",4_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_4_8_test_4.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_4_from_4_8.csv,504,238,72,34,True,True
"4_feet,8_feet",6_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_4_8_test_6.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_6_from_4_8.csv,504,245,72,35,False,False
"4_feet,8_feet",8_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_4_8_test_8.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_8_from_4_8.csv,504,266,72,38,True,True
"6_feet,8_feet",4_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_6_8_test_4.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_4_from_6_8.csv,511,238,73,34,False,False
"6_feet,8_feet",6_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_6_8_test_6.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_6_from_6_8.csv,511,245,73,35,True,True
"6_feet,8_feet",8_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_6_8_test_8.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_8_from_6_8.csv,511,266,73,38,True,True
"4_feet,6_feet,8_feet",4_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_4_6_8_test_4.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_4_from_4_6_8.csv,749,238,107,34,True,True
"4_feet,6_feet,8_feet",6_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_4_6_8_test_6.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_6_from_4_6_8.csv,749,245,107,35,True,True
"4_feet,6_feet,8_feet",8_feet,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_train_4_6_8_test_8.csv,/data/Sajjan_Singh/gesture_recognition/data/processed/splits/protocol_B_test_8_from_4_6_8.csv,749,266,107,38,True,True
